,Bogota,Valle del Cauca,Antioquia,Bolivar,Huila,Meta,Risaralda,Norte de Santander,Caldas,Cundinamarca,Atlantico,Santander,Quindio,Tolima,Cauca,Magdalena,Cesar,San Andres y Providencia,Casanare,Nariño,Boyaca,Cordoba,Sucre,La Guajira,Choco,Amazonas,Caqueta,Putumayo,Arauca,Vaupes,Guainia,Vichada,Guaviare
2020-04-17,1.5986934647014717,1.3076567499246252,1.1386240539316101,1.5145302692601519,1.1609354883321268,2.4089806694475118,1.8987678332069973,0.5655780256919462,1.1212189365485485,1.247298473989052,1.9395143516246633,0.3321960630101917,,1.90606140072447,2.2690240055903295,1.178821366743308,1.5288671980993502,,,1.9769677361820779,,1.3219667336057752,,,2.787297177195162,3.8139817233063553,,,,,,,
2020-04-18,1.5165118983525006,1.305032799792036,1.000000000000001,1.8792028133949021,1.1555699612487638,1.7518902960023102,2.3017591649207936,0.7925584413361083,,1.15402938351813,2.2646069047715183,,1.3458372033840353,1.5840946671186957,2.2690240055903295,1.379052052972072,1.359151525301935,,,1.7928621717118514,,0.6780332663942265,,4.234686842613079,3.265703140314605,3.4112234683524796,,,,,,,
2020-04-19,1.533782066027759,1.435017934549806,1.0906177339998095,1.9706693323210143,1.1481605921347084,1.2812095604182552,2.2243665675149633,1.102568231354286,1.5915079596493378,1.1818411864891243,2.861965436811884,,1.6231464989144404,1.8256766380756984,2.6092556026947387,1.569403102627166,1.5288671980993502,-3.276023415412722,1.3735326358098383,2.910874604359947,0.8094973589054785,,,,3.383852910907958,4.970288582229796,,,,,,,
2020-04-20,1.452255195258901,1.3550744721693981,1.0901799398565462,1.863636866118626,1.7306556165605225,1.3011797653086667,1.6060837132999268,1.1124552407022827,1.3458372033840353,1.0300108215413566,2.818387676380434,,1.0000000000000009,1.519052963847713,1.8136491400089623,1.6841495462287568,0.8302843272025866,,2.5702037708989933,2.960799192323346,1.3735326358098374,,,3.3838529109079567,2.125422931812143,5.04128663586366,,,,,,,
2020-04-21,1.36092001551971,1.4698063610120897,1.1124552407022812,1.7795857284281091,1.9641998303606636,1.524897255991224,1.1510379943428166,0.6704513530015529,1.4556461912982739,1.0000000000000018,2.498955567621982,,1.0000000000000009,2.095918091694538,,1.5899316493264077,0.6408484746980685,,,3.020032384049299,2.733963263351589,,,,1.6678039369898092,5.357184881401444,4.95405668180695,,,,,,
2020-04-22,1.3035092276721123,1.3414721608184106,1.000000000000001,1.6911154642865747,1.6140230030140268,1.8689921906722997,1.0000000000000042,0.3477776022492594,0.7723125672093154,0.8489620056571893,2.2507100986476907,-0.04133657279964472,,2.016042924609397,1.9966791347242763,1.4217922868519246,0.8302843272025866,,,2.2956147707919663,2.486117411886495,-0.34251633810830945,,2.8921705045047683,,4.283046515445629,7.469373685226156,,,,,,
2020-04-23,1.2775144661224598,1.3799878619486445,1.000000000000001,1.7828628821208354,1.450925233215669,1.93405215441772,,0.7723125672093172,0.7723125672093154,0.847977871305142,2.374939959029365,-0.4473896654179166,0.3768535010855614,3.0531059928368927,1.3735326358098368,1.6231464989144382,1.3334751652500119,,,2.5262013495510174,2.1125847760766585,0.33219606301019206,,2.0413365727996466,1.1530191731739574,3.888849639229044,,,,,,,
2020-04-24,1.3428291675272366,1.357431412246461,0.9102536443365276,1.8040666588870298,1.1228141054810814,1.81761908211709,0.8787810634514545,0.6453991007696965,0.8901910120857602,0.9389969526856875,2.7002431445267407,-0.22436656751495665,0.33219606301019206,2.4762408649900682,1.0000000000000002,1.9470572719845574,1.8508339317051246,,,2.632844532448983,,,,3.193350269813433,1.1637594924525951,4.218567079895338,6.126857347117846,,,,,,
2020-04-25,1.408963286338287,1.3446204997748346,0.7700684379683486,2.2229130036761777,1.0634930429269724,1.751620601046494,0.4651842138846529,0.636179473141345,2.041336572799644,1.0912081150071966,2.8611626384843145,-0.8921705045047675,1.0000000000000009,2.2399481067540252,0.6264673641901638,2.006640006524566,1.6447015795771485,,,2.5903621895734035,1.877577080347051,1.0000000000000009,,2.892170504504769,1.1530191731739574,3.4932143427974283,,,,,,,
2020-04-26,1.420774450778015,1.3820313936981403,0.6283277057203497,2.378413951016372,1.6308156323851817,1.7962524128102306,0.4950032716789157,0.636179473141345,2.1337488335151495,1.0918062394606263,2.9790585281197495,,1.3219667336057752,1.7306556165605205,1.3458372033840347,1.8684773049580208,1.0000000000000018,,,2.463735274656859,,,,4.234686842613081,1.291761665912892,3.3357425191666032,,,,,,,
2020-04-27,1.4932468270235002,1.3619384269474146,0.5980639492602874,2.543750036916009,1.515862080532511,2.9611033186662294,0.4118099691549659,1.2393687071419033,2.085570711254182,0.9691968078536917,3.1501055656182295,-1.1092639108009341,,1.7306556165605205,,1.431775721520016,-0.23994810675402523,,,2.586049852904307,1.5339149721628065,2.3425163381083114,,,2.382573808668137,3.2395453245968375,2.664483071714086,,,,,,
2020-04-28,1.400245168201322,1.3552439122064073,0.6577873922674377,2.1873159699113915,1.5356190680980004,2.6683382282048456,0.6181265815110552,1.4790527189470575,1.4447808390868497,0.7208470223490865,3.1673520595826417,-1.3838529109079571,2.5186378686949307,1.6522223977507438,,1.3358763315837543,-0.39296727992798236,,2.0413365727996466,2.1995438139528236,1.1393138280318469,2.2518986041085047,,3.9335070773044154,2.304729357022755,2.9528683753724896,2.4861174118864966,,,,,,
2020-04-29,1.4146191541991981,1.3341778177645782,0.7517144983705014,2.302112045307109,0.9460494954616463,2.724487794783141,0.5083175935968166,1.701316947563578,1.4364549373838438,0.9389969526856875,3.2830966254769076,,1.3219667336057752,1.1986115339543801,2.4349285988238183,1.2569456268541301,0.6665248347499917,-0.34251633810830917,,2.126704807020497,1.1314640925112505,,,,1.8977354990214617,2.719767433610239,3.383852910907956,,,,,,
2020-04-30,1.436454937383847,1.5130265553667936,0.9503541417097411,2.405398264830658,1.1072844183819337,2.3150652785606702,0.6380615730525919,,1.7319315336338574,1.0000000000000018,3.22228658948092,,0.6780332663942265,1.3891141750489027,2.760706411993517,1.3551302698470244,,,,2.031835381869184,2.1164052156405595,2.425114364572183,,5.1711500881031185,2.065207042577908,2.345013885219926,3.1933502698134313,,,,,,
2020-05-01,1.479052718947063,1.617034295464811,1.0252936481902477,2.6689897516072247,1.9159729088750892,2.298474873903577,0.7012313257636613,1.5496541663964563,1.990147759736966,1.3389828569865347,3.1210992371210087,0.3768535010855622,,2.0277903610624897,2.1728006653108953,1.5304101528717695,1.57214416976422,,1.9689837022984757,2.212385388490475,2.799758243789261,2.2690240055903295,,,2.285255906013178,2.3378751973312712,,,,,,,
2020-05-02,1.4925228686597052,1.6373524966935087,1.000000000000001,2.61348074256386,1.9315275848854094,2.802792487502573,0.28063016080613323,1.3295486469984483,1.9060614007244663,1.1212189365485514,2.806198242590599,1.6231464989144389,0.1491660682948801,1.9891945033417275,,1.4561306622737131,1.1986115339543835,,,2.1884396433072877,2.8921705045047688,1.9861091037802991,,5.085520774318201,2.5702037708989964,2.1569767081259177,3.298223597123038,,,,,,
2020-05-03,1.3740257064074413,1.5501493822579786,0.8478126005857843,2.485306170395243,1.8684773049580163,1.8128231082045818,-0.09813240569416475,1.415088268076982,1.1481605921347047,1.3281436592814788,2.5595568724169975,,0.6780332663942265,2.053764454090571,1.39460114413096,1.4227855116437276,0.25173429964916433,,,2.071672540947412,1.7335327231045934,2.0902026388470265,,3.193350269813435,1.7057445253783114,2.155289700424328,,7.469373685226157,,,,,
2020-05-04,1.3570721372017278,1.5334521010389768,0.7139308793022897,2.440026502238904,1.1812525554758986,3.14072054590128,-0.9308982509733431,1.3011797653086676,,0.9701809422057389,2.507131707072549,2.8921705045047688,1.0000000000000009,1.7962524128102295,1.383777791772537,1.2806456741131587,-0.22436656751495754,5.577203180721388,2.1728006653108967,2.236347746539441,1.5288671980993511,2.3425163381083114,,1.596555733712796,1.644701579577147,2.345997626346343,,,,,,,
2020-05-05,1.4165041940367573,1.5459752803827793,0.791399165049769,2.4507388906261824,1.1314640925112547,2.3425163381083123,-0.6398568052434772,1.1048733273096074,0.7170850981899667,1.1472256694296565,2.5545483298374667,1.6231464989144389,0.33219606301019206,0.9472687421483142,0.8685359074887504,1.5180584690828063,0.3768535010855623,,1.5840946671186966,2.130104423594147,1.4132491875934114,2.506275830560906,,1.1905026410945243,1.549654166396454,2.452173537355728,2.1031476309664074,,,,,,
2020-05-06,1.426592436416124,1.5733629388144152,0.9741458249137948,2.3925485194586895,1.0438187882992507,2.4876942548366787,-0.5040088076031944,0.692196150304946,0.789437968691138,1.1138267812460818,2.379839917494015,,2.172800665310896,0.8996377089688382,0.8721381204554662,1.520986531999128,-0.14390480415392895,8.955491097112652,1.0000000000000016,2.027204324635372,1.7072328579269354,2.486117411886495,,1.3735326358098383,1.958738546335776,2.1636949713650053,,,,,,,
2020-05-07,1.5292282694498092,1.5708220638295092,0.8362405075474063,2.1216993623074436,1.5447132801046655,1.5761145340719172,0.44304846438136397,0.37685350108556115,0.9265076674820172,1.5629306096802018,2.3462589533274922,0.3768535010855622,2.425114364572183,1.3523685783713482,0.6162222082274637,1.690747874180864,0.24157832901038656,6.618539753521035,0.7332607354135758,1.8246814540517378,1.8369243337271424,1.9060614007244698,,1.1830299947153158,1.8256766380757001,1.8342746339738134,,,,,,,
2020-05-08,1.4944486582131014,1.6097861725636904,0.9732568513580695,2.0967744842742886,1.2523136992612895,1.9264911050184725,1.2973404671351751,0.5655780256919462,0.9999999999999988,1.7235087899456036,2.231017202529129,1.0000000000000007,2.7709515679562173,2.0835691385592603,1.1314640925112502,1.4815264357644147,-0.26902400559032696,,0.7170850981899713,1.5951829828081567,1.5933908189311488,2.728411012052174,,1.5288671980993502,2.342516338108311,1.5155284811137875,,,,,,,
2020-05-09,1.6480533978027154,1.6283987973492031,1.0515659022040633,2.1357314552587225,1.3364820382062765,1.8350414744453343,1.5569515356186443,0.7829065937038351,0.9276471294988274,2.2502446375249434,2.159288074001515,,1.4916824064031908,1.9179813731482511,1.1278618795445343,1.3634097106546257,-0.5186378686949279,,,1.6271886530577315,1.4843850371810057,2.342516338108311,7.469373685226157,1.5095966958366311,2.067927338001289,1.6458775066758893,,,,,,,
2020-05-10,1.6568734585334888,1.6341159762854318,1.695499369415612,2.190976605198085,0.8798216848553997,1.3621087214961858,1.193131008759993,0.8875447592977185,0.5329438600674147,2.2891824242647414,1.960277494094201,,0.7476863007387143,0.5552191609131517,1.1314640925112502,1.1388532183817002,1.0000000000000018,,1.2829149018100316,1.5795551077464562,1.7094089673935884,2.6092556026947387,5.276023415412725,1.9689837022984757,1.5915079596493353,1.5043250722078554,,,,,,,
2020-05-11,1.7321523169415378,1.5992677482900988,1.8329196422716822,2.209626002717174,1.0407571731875238,0.9841179653853652,0.31888174109229855,1.1124552407022827,0.5406129935381543,2.3487178894085616,1.8258450277293747,2.041336572799648,1.000000000000001,0.41870729433844645,1.6069145984915911,1.2523136992612898,2.041336572799647,,0.7170850981899713,1.745188254519259,1.9993572792262857,2.8921705045047665,,1.7667475726926252,1.4749859067797342,1.6242167125796427,,,,,,,
2020-05-12,1.68500393412325,1.5564539150374603,1.9060614007244687,2.080438745927602,0.9181265549624257,0.9682538458271566,0.10226450097854271,0.8875447592977185,0.5406129935381543,2.0370335142497944,1.7138432318844383,2.6644830717140864,,0.5635450626161577,1.7013169475635779,1.5715594843450944,2.7709515679562187,,0.031016297701527584,1.7735989839679587,1.8398664374286728,3.0996120631686606,,1.7423019082718765,1.7344968108400025,1.5882944574126505,1.5496541663964558,5.276023415412725,,,,,
2020-05-13,1.6998057634855517,1.607634019256529,2.140782243537817,2.1425243377434278,0.8766448003486079,0.9362176859329049,0.2489916215410286,0.8847678079115994,0.9174019735361293,2.215073501051974,1.6504743146622995,,1.2276874327906846,1.2719215712452179,2.0413365727996458,1.6117318988492262,1.2667392645864277,,0.09393859927553194,2.0725700178735127,2.1125847760766585,2.8269013752893137,,1.4181900738852076,2.215811722467208,1.7411493318460838,1.0,4.23468684261308,,,,,
